Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Academic Program Code
120048 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0218 ,Sciences Certification ,15,5,10,0,13,0,1,1,0,0,0,13,2,10KS0218EDM
120048 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0219 ,Mathematics Certification ,7,6,1,0,6,0,0,1,0,0,0,6,1,10KS0219EDM
120048 ,KN ,613 ,MA ,0095 ,Elementary Education ,  ,  ,5,0,5,0,0,1,1,0,0,3,0,1,4,10KS0095MA
120048 ,KN ,613 ,MS ,0095 ,Elementary Education ,  ,  ,2,0,2,0,1,0,0,0,0,1,0,1,1,10KS0095MS
120048 ,KN ,613 ,MS ,0215 ,Secondary & Continuing Educ ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,2,0,10KS0215MS
120048 ,KN ,613 ,NDEG ,0215 ,Secondary & Continuing Educ ,0216 ,English Certification ,1,1,0,0,1,0,0,0,0,0,0,0,1,10KS0216NDEG
120048 ,KN ,613 ,PHD ,0095 ,Elementary Education ,  ,  ,14,4,10,0,2,0,1,0,0,11,0,3,11,10KS0095PHD
120048 ,KN ,613 ,PHD ,0215 ,Secondary & Continuing Educ ,  ,  ,18,6,12,0,6,0,1,0,0,11,0,3,15,10KS0215PHD
120048 ,KN ,616 ,EDD ,0210 ,Educational Psychology ,  ,  ,12,4,8,0,4,2,1,1,0,4,0,3,9,10KS0210EDD
120048 ,KN ,616 ,EDM ,0210 ,Educational Psychology ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,1,10KS0210EDM
120048 ,KN ,616 ,MA ,0210 ,Educational Psychology ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KS0210MA
120048 ,KN ,616 ,PHD ,0210 ,Educational Psychology ,  ,  ,117,35,82,0,41,3,8,4,1,59,1,26,91,10KS0210PHD
120048 ,KN ,640 ,CAS ,0220 ,Educational Policy Studies ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0220CAS
120048 ,KN ,640 ,EDD ,0220 ,Educational Policy Studies ,  ,  ,71,19,52,0,15,4,22,15,0,12,3,35,36,10KS0220EDD
120048 ,KN ,640 ,EDM ,0220 ,Educational Policy Studies ,  ,  ,29,15,14,0,6,3,9,9,2,0,0,17,12,10KS0220EDM
120048 ,KN ,640 ,MA ,0220 ,Educational Policy Studies ,  ,  ,17,6,11,0,4,1,2,5,1,4,0,7,10,10KS0220MA
120048 ,KN ,640 ,NDEG ,0220 ,Educational Policy Studies ,  ,  ,1,1,0,0,0,0,1,0,0,0,0,1,0,10KS0220NDEG
